Operateur;Latitude;Longitude;2G;3G;4G
20801;47.8821537172713;-4.1661908697259;1;1;1
20815;47.8821097193171;-4.16617148348574;0;1;1
20820;47.882221350167;-4.16611941511042;1;1;1
20820;48.3297171571282;-4.22666844167829;1;0;0
20810;48.3294737786093;-4.22636396327502;1;1;1
20820;48.0902654228891;-4.19083002385068;1;1;1
20815;48.090274384185;-4.19083124530809;0;1;1
20810;48.4311366343224;-4.23557742200825;1;0;0
20820;48.4441431297209;-4.23577151002205;1;1;0
20815;48.4441480690652;-4.23569071940067;0;1;0
20801;48.4441765911929;-4.23566750118073;1;1;1
20801;47.9594804731807;-4.16634852498813;1;1;0
20801;48.0666458057018;-4.17914590600855;1;1;0
20801;48.3173054563905;-4.21289125774932;1;1;0
20801;47.9431962841818;-4.14755983886588;1;1;0
20820;48.3072859884106;-4.19690257152609;1;1;0
20815;48.3072797228406;-4.19611622451447;0;1;1
20815;47.8765405264568;-4.13351630489147;0;1;1
20801;47.8765771907422;-4.13350780959756;1;1;1
20820;47.9666734352595;-4.14502782976257;1;1;1
20815;47.9666734352595;-4.14502782976257;0;1;1
20810;47.9666921207977;-4.1445728803424;1;1;1
20801;47.972393613599;-4.13374372583416;1;1;0
20815;48.6202074436376;-4.21929955806101;0;1;0
20801;48.6202440947852;-4.21929100217445;1;1;1
20820;47.9965337592991;-4.13351506337712;1;1;1
20810;47.9965467811145;-4.13344950825574;1;1;1
20815;47.9964701785878;-4.13337185728823;0;1;0
20801;47.9965076520382;-4.13334998973369;1;1;1
20820;48.2196292525474;-4.16322765935665;1;1;0
20820;47.9842504392468;-4.12911194231351;1;1;1
20810;47.9842504392468;-4.12911194231351;1;1;1
20801;48.0275245178818;-4.13295860916386;1;1;0
20801;47.9858260928975;-4.12578451985313;1;1;1
20810;47.877680997279;-4.10957248328197;1;1;1
20820;47.8776834249387;-4.10953251298711;1;1;1
20801;47.8777298600039;-4.10951188036513;1;1;1
20801;48.1859226354508;-4.14771194640127;0;1;0
20820;48.1191092888596;-4.13696795938345;1;1;1
20810;48.1191092888596;-4.13696795938345;1;1;1
20815;48.1191190627477;-4.13695578853135;0;1;1
20801;47.9902673487581;-4.11588382985474;1;1;1
20820;48.2738868797229;-4.15333846278884;1;1;1
20810;48.2738868797229;-4.15333846278884;1;1;1
20801;48.2739634410192;-4.15311880873782;1;1;0
20810;47.9940112330741;-4.11404552112312;1;0;0
20815;48.2749978581017;-4.15110767599484;0;1;1
20820;48.6198763133595;-4.1969241213121;1;1;1
20810;48.6199325157376;-4.19689099767903;1;1;1
20801;48.5019527255816;-4.18051507399534;1;0;0
20801;47.9960016047033;-4.10983054657153;1;1;1
20820;47.995827206302;-4.10972631613962;1;1;1
20801;48.007779702447;-4.11035146499445;1;1;1
20801;47.9909065484302;-4.10503975995257;1;1;0
20820;47.9818049317448;-4.10314373258549;1;1;1
20810;47.9816272220082;-4.1029449003779;1;1;1
20801;47.9816557273226;-4.10292181334627;1;1;1
20810;47.9925883678292;-4.10367741059924;1;1;1
20820;47.992642952869;-4.10367128500615;1;1;1
20801;47.9957189930171;-4.09942689660891;1;1;1
20801;47.9676516942066;-4.09483838845083;1;0;0
20801;48.5448746783619;-4.17310485393283;1;1;0
20810;48.0092139377629;-4.10024349251527;1;0;0
20820;48.5449382219329;-4.17295032444329;1;1;0
20810;48.5449382219329;-4.17295032444329;1;1;0
20815;48.5449479964739;-4.17293806146435;0;1;0
20815;48.1994357615588;-4.12554521074758;0;1;1
20820;48.008143039402;-4.09957447203893;1;1;1
20810;48.0081650049201;-4.09951009833839;1;1;1
20801;47.9741142396059;-4.09465587810513;0;0;0
20820;47.9744438486999;-4.09398691660622;1;1;1
20820;48.6616686839079;-4.18722841657838;1;1;1
20820;48.1999974656409;-4.12417521075564;1;1;1
20801;48.6616931394844;-4.18712271006142;1;1;1
20810;47.9866012811242;-4.0949587591851;1;1;1
20810;48.1995533213457;-4.12360157062868;1;1;1
20815;48.6616663732957;-4.1866690838867;0;1;1
20820;47.9865074539737;-4.09471735780648;1;1;1
20801;47.9877812113084;-4.09233096079653;1;1;0
20801;48.0068848050219;-4.09438314470014;1;1;0
20815;47.9878468443996;-4.09169370175413;0;1;1
20810;47.9250962445919;-4.08238541190972;1;1;1
20815;47.9249975515334;-4.08222432688164;0;1;1
20820;47.9254023215562;-4.08195583786342;1;1;1
20820;47.9878618846468;-4.08815583314911;1;1;1
20810;47.9876663133552;-4.08810269221526;1;1;1
20801;47.9873769007365;-4.08780815856586;1;0;0
20801;48.0143063910318;-4.08894267339327;1;1;0
20815;48.0182253737423;-4.08643834540749;0;1;1
20801;47.9975437079879;-4.08074426715328;0;1;0
20810;48.4896770584791;-4.14704536628787;1;0;0
20820;47.9748447427431;-4.07703197141122;1;1;1
20801;47.9748911693485;-4.07701127252159;1;1;0
20810;47.974910706561;-4.07698697492551;1;1;1
20815;47.9748951967212;-4.07694453074976;0;1;0
20801;48.2772553246324;-4.11706493835041;1;1;0
20820;47.9776945005697;-4.07667325633782;1;0;0
20810;47.997268591865;-4.07871505443292;1;1;1
20820;47.9973223697809;-4.07872225656671;1;1;1
20815;47.9973223697809;-4.07872225656671;0;1;1
20801;48.0062447411579;-4.07774965261554;1;1;1
20820;48.2552684500439;-4.11028788879876;1;1;1
20810;48.2552398874624;-4.1101622731926;1;1;1
20801;47.9826299027455;-4.07274463406879;1;1;1
20810;47.9818517202023;-4.07261362108155;1;1;1
20820;47.9817774917308;-4.07249602910042;1;1;1
20801;48.5224567595018;-4.14510583087259;0;0;1
20810;48.0392323270397;-4.07775144708705;1;1;1
20820;48.0392502525527;-4.0777538493729;1;1;1
20820;47.9113443781362;-4.05857154074969;1;1;1
20801;47.9947314043945;-4.06954477217947;1;1;1
20810;47.9113026472021;-4.05836438103824;1;1;1
20801;47.9114068712787;-4.05828419707234;1;1;0
20801;48.2291767996513;-4.10010940246838;1;1;0
20810;48.6577404165472;-4.15713035898005;1;1;1
20820;48.6574985526859;-4.15694721529517;1;1;1
20801;48.2013800467409;-4.09363062011546;1;1;1
20820;48.501935602651;-4.13278940160105;1;1;0
20810;48.501935602651;-4.13278940160105;0;1;0
20815;48.5019453733835;-4.13277714119219;0;1;0
20801;48.5019730625658;-4.13276732303018;0;1;0
20801;48.0401777714615;-4.06925563170452;1;1;0
20815;48.0400007025879;-4.06889511573894;0;1;1
20801;48.160859685842;-4.08404289365842;1;1;0
20801;47.9832241386547;-4.05867966855924;1;1;1
20810;48.2640858831407;-4.09228070706083;0;1;0
20801;47.984413828067;-4.04881213228816;1;1;1
20820;48.5830123428245;-4.12915527506814;1;1;1
20810;48.5830123428245;-4.12915527506814;1;1;1
20801;48.0059381184437;-4.0492191243856;1;1;0
20820;48.0058866079296;-4.04902376330299;1;1;1
20815;48.0058874102146;-4.04901040671701;0;1;1
20810;48.0058906193395;-4.04895698036906;1;1;1
20801;47.9983143115389;-4.04633120339169;1;1;0
20815;48.2563878975102;-4.08027121995538;0;1;1
20801;48.2539917804342;-4.07850120268271;1;1;1
20801;48.4496401327697;-4.10371271957077;1;1;1
20820;48.2090619976843;-4.06878288116457;1;1;1
20810;48.2090619976843;-4.06878288116457;1;1;1
20820;47.8904754048742;-4.02455594421507;1;1;1
20815;47.8900027048889;-4.02445295497411;0;1;1
20810;47.8902906481428;-4.02402095360907;1;1;1
20820;48.6005592176713;-4.11805528544522;1;1;1
20810;48.6005592176713;-4.11805528544522;1;1;1
